Date : 2022-04-24 21:00:22
Directory : d:\typescript-algorithms
Total : 591 files,  12675 codes, 931 comments, 1548 blanks, all 15154 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        585 |     12,605 |        888 |      1,532 |     15,025 |
| JSON               |          2 |         29 |          0 |          2 |         31 |
| JSON with Comments |          1 |         22 |         43 |          8 |         73 |
| Markdown           |          2 |         13 |          0 |          5 |         18 |
| JavaScript         |          1 |          6 |          0 |          1 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                 |        591 |     12,675 |        931 |      1,548 |     15,154 |
| src                                                                                                                                               |        586 |     12,616 |        888 |      1,535 |     15,039 |
| src\algorithms                                                                                                                                    |         20 |        548 |         12 |         94 |        654 |
| src\algorithms\array                                                                                                                              |          2 |         38 |          0 |          7 |         45 |
| src\algorithms\array\crud                                                                                                                         |          2 |         38 |          0 |          7 |         45 |
| src\algorithms\array\crud\__test__                                                                                                                |          1 |         20 |          0 |          4 |         24 |
| src\algorithms\linked-list                                                                                                                        |          4 |         48 |          0 |         16 |         64 |
| src\algorithms\linked-list\reverse-traversal                                                                                                      |          2 |         24 |          0 |          8 |         32 |
| src\algorithms\linked-list\reverse-traversal\__test__                                                                                             |          1 |         16 |          0 |          6 |         22 |
| src\algorithms\linked-list\traversal                                                                                                              |          2 |         24 |          0 |          8 |         32 |
| src\algorithms\linked-list\traversal\__test__                                                                                                     |          1 |         16 |          0 |          6 |         22 |
| src\algorithms\shuffle                                                                                                                            |          1 |          7 |          0 |          1 |          8 |
| src\algorithms\sort                                                                                                                               |          7 |        291 |         10 |         41 |        342 |
| src\algorithms\sort\__test__                                                                                                                      |          1 |         50 |          0 |         10 |         60 |
| src\algorithms\topK                                                                                                                               |          2 |         46 |          0 |          9 |         55 |
| src\algorithms\topK\__test__                                                                                                                      |          1 |         10 |          0 |          2 |         12 |
| src\algorithms\union-find                                                                                                                         |          4 |        118 |          2 |         20 |        140 |
| src\algorithms\union-find\__test__                                                                                                                |          1 |         41 |          0 |          4 |         45 |
| src\algorithms\union-find\quick-find                                                                                                              |          1 |         20 |          0 |          5 |         25 |
| src\algorithms\union-find\quick-union                                                                                                             |          2 |         57 |          2 |         11 |         70 |
| src\data-structures                                                                                                                               |          9 |        974 |         38 |        147 |      1,159 |
| src\data-structures\linked-list                                                                                                                   |          3 |        353 |         15 |         54 |        422 |
| src\data-structures\linked-list\__test__                                                                                                          |          1 |        112 |          0 |         14 |        126 |
| src\data-structures\priority-queue                                                                                                                |          2 |        273 |         11 |         31 |        315 |
| src\data-structures\priority-queue\__test__                                                                                                       |          1 |        103 |          0 |         10 |        113 |
| src\data-structures\stack                                                                                                                         |          2 |         88 |          0 |         23 |        111 |
| src\data-structures\stack\__test__                                                                                                                |          1 |         55 |          0 |         16 |         71 |
| src\data-structures\vector                                                                                                                        |          2 |        260 |         12 |         39 |        311 |
| src\data-structures\vector\__test__                                                                                                               |          1 |        130 |          0 |         16 |        146 |
| src\interview                                                                                                                                     |         12 |        255 |         12 |         37 |        304 |
| src\interview\call                                                                                                                                |          1 |         15 |          0 |          1 |         16 |
| src\interview\debounce                                                                                                                            |          1 |         32 |          0 |          3 |         35 |
| src\interview\deep-copy                                                                                                                           |          1 |         10 |          0 |          1 |         11 |
| src\interview\es5                                                                                                                                 |          1 |         12 |          0 |          1 |         13 |
| src\interview\es5\map                                                                                                                             |          1 |         12 |          0 |          1 |         13 |
| src\interview\flat                                                                                                                                |          1 |         52 |          7 |          8 |         67 |
| src\interview\new                                                                                                                                 |          1 |         18 |          0 |          4 |         22 |
| src\interview\promise                                                                                                                             |          4 |         57 |          0 |          5 |         62 |
| src\interview\setTimeout                                                                                                                          |          1 |         34 |          5 |         11 |         50 |
| src\interview\throttle                                                                                                                            |          1 |         25 |          0 |          3 |         28 |
| src\leetcode                                                                                                                                      |        545 |     10,839 |        826 |      1,257 |     12,922 |
| src\leetcode\Bit operations                                                                                                                       |          5 |         43 |          0 |          5 |         48 |
| src\leetcode\Bit operations\137. Single Number II                                                                                                 |          1 |         13 |          0 |          1 |         14 |
| src\leetcode\Bit operations\191. Number of 1 Bits                                                                                                 |          2 |         16 |          0 |          2 |         18 |
| src\leetcode\Bit operations\231. Power of Two                                                                                                     |          2 |         14 |          0 |          2 |         16 |
| src\leetcode\hot 100                                                                                                                              |        183 |      3,750 |        515 |        537 |      4,802 |
| src\leetcode\hot 100\1. Two Sum                                                                                                                   |          1 |         12 |          0 |          2 |         14 |
| src\leetcode\hot 100\10. Regular Expression Matching                                                                                              |          1 |         13 |          0 |          1 |         14 |
| src\leetcode\hot 100\101. Symmetric Tree                                                                                                          |          3 |         55 |         26 |         14 |         95 |
| src\leetcode\hot 100\102. Binary Tree Level Order Traversal                                                                                       |          3 |         48 |          0 |          5 |         53 |
| src\leetcode\hot 100\102. Binary Tree Level Order Traversal\__test__                                                                              |          1 |         13 |          0 |          2 |         15 |
| src\leetcode\hot 100\104. Maximum Depth of Binary Tree                                                                                            |          3 |         41 |         26 |         10 |         77 |
| src\leetcode\hot 100\105. Construct Binary Tree from Preorder and Inorder Traversal                                                               |          3 |         57 |         20 |         14 |         91 |
| src\leetcode\hot 100\11. Container With Most Water                                                                                                |          2 |         32 |          0 |          4 |         36 |
| src\leetcode\hot 100\114. Flatten Binary Tree to Linked List                                                                                      |          3 |         56 |         32 |         10 |         98 |
| src\leetcode\hot 100\121. Best Time to Buy and Sell Stock                                                                                         |          2 |         25 |          1 |          3 |         29 |
| src\leetcode\hot 100\124. Binary Tree Maximum Path Sum                                                                                            |          2 |         25 |         15 |          7 |         47 |
| src\leetcode\hot 100\128. Longest Consecutive Sequence                                                                                            |          2 |         59 |          2 |         15 |         76 |
| src\leetcode\hot 100\136. Single Number                                                                                                           |          3 |         27 |          0 |          6 |         33 |
| src\leetcode\hot 100\139. Word Break                                                                                                              |          3 |         78 |          2 |          8 |         88 |
| src\leetcode\hot 100\141. Linked List Cycle                                                                                                       |          4 |         46 |         11 |         11 |         68 |
| src\leetcode\hot 100\142. Linked List Cycle II                                                                                                    |          2 |         20 |         11 |          5 |         36 |
| src\leetcode\hot 100\146. LRU Cache                                                                                                               |          3 |        134 |         10 |         19 |        163 |
| src\leetcode\hot 100\15. 3Sum                                                                                                                     |          4 |         85 |          6 |         14 |        105 |
| src\leetcode\hot 100\15. 3Sum\__test__                                                                                                            |          1 |          7 |          0 |          3 |         10 |
| src\leetcode\hot 100\152. Maximum Product Subarray                                                                                                |          1 |         21 |          1 |          4 |         26 |
| src\leetcode\hot 100\155. Min Stack                                                                                                               |          1 |         25 |          8 |          6 |         39 |
| src\leetcode\hot 100\160. Intersection of Two Linked Lists                                                                                        |          3 |         45 |         11 |          7 |         63 |
| src\leetcode\hot 100\169. Majority Element                                                                                                        |          3 |         57 |          1 |          6 |         64 |
| src\leetcode\hot 100\17. Letter Combinations of a Phone Number                                                                                    |          1 |         30 |          0 |          2 |         32 |
| src\leetcode\hot 100\19. Remove Nth Node From End of List                                                                                         |          3 |         45 |         11 |          7 |         63 |
